lipid_molar_ratio,encapsulation_efficiency_percent_std_num,source,confidence,evidence,reference_doi,ionizable_lipid_name,helper_lipid_name,peg_lipid_name,cargo_type,title,chem_warnings,pmcid,ee_is_approximate
50:10:38.5:1.5,,text,low,"stearoyl-sn-glycero-3-phosphocholine], cholesterol, and DMG-PEG2000 [1,2-dimyristoyl-rac-glycero-3-methoxypolyethylene glycol] at 50:10:38.5:1.5 molar ratio) as a control group 35 - 40 , dynamic light",10.7150/thno.136879,SM-102,DSPC,DMG-PEG2000,mRNA,Reshaping immune cell distribution with mRNA noncationic lipid nanoparticles for overcoming neoadjuvant chemo-immunother,,13440642,
50:10:38.5:1.5,,text,low,"pseudouridine-5′-triphosphate. Lipid 5 LNPs were formulated using Lipid 5, DSPC, cholesterol, and DMG-PEG2000 at a molar ratio of 50:10:38.5:1.5; iPLNPs using 9A1P9, DDAB, cholesterol, and DMG-PEG2000",10.3390/pharmaceutics18070868,MC3,DSPC,DMG-PEG,mRNA,Optimization of Therapeutic modRNA Delivery to the Lung for Prevention of Pulmonary Fibrosis,,13415190,
50:10:38.5,,text,low,"DOPE, cholesterol, and DMG-PEG2000 at 5:15:30:3; and 50% DOTAP MC3 LNPs using DLin-MC3-DMA, DSPC, cholesterol, and DMG-PEG2000 at 50:10:38.5:1.5. All lipids were purchased from Avanti Polar Lipids or ",10.3390/pharmaceutics18070868,MC3,DSPC,DMG-PEG,mRNA,Optimization of Therapeutic modRNA Delivery to the Lung for Prevention of Pulmonary Fibrosis,,13415190,
50:10:38.5:1.5,,text,low," using a self-assembly process comprising an ionizable lipid (3D-P-DMA), DSPC, cholesterol, and PEG2000-C-DMA at a molar ratio of 50:10:38.5:1.5, respectively. Following encapsulation, the mRNA-LNP fo",10.1371/journal.pone.0355389.r004,,DSPC,,mRNA,Cross-serotype immunity elicited by a consensus dengue NS1 mRNA vaccine in mice,,13446656,
50:38.5:10:1.5,82.89,text,medium,"Shanghai, China), and 14:0 PEG2000 PE (Sigma-Aldrich, St. Louis, MO, USA) were dissolved in anhydrous ethanol at a molar ratio of 50:38.5:10:1.5 to fo  ⟶EE근거: . si- Cyp2e1 LNPs showed a mean particle size of 72.47 ± 1.15 nm, a PDI of 0.144 ± 0.008, a zeta potential of −0.45 ± 0.10 mV, an encapsulation effici",10.3390/ph19071087,DLin-MC3-DMA,DSPC,,mRNA,"Liver-Directed Cyp2e1 RNA Interference Attenuates Hepatotoxicity Induced by Triptolide, a Bioactive Diterpenoid from Tri",헬퍼(38.5) > 콜레스테롤(10) — 통상과 반대입니다. 순서가 뒤바뀌었거나 논문 오기일 수 있습니다 (뒤집으면 50:10:38.5:1.5),13416182,True
50:10:38.5,90.0,text,medium,"oparticles The LNP was prepared as previously described [ 38 , 39 ]. Briefly, DLin-MC3-DMA, cholesterol, and DSPC (molar ratio of 50/38.5/10) were mix  ⟶EE근거: icroscopy (TEM) images proved that CMLNP possessed an extra outer layer compared with the LNP due to CM coating. In addition, the encapsulation effici",10.3390/pharmaceutics18070901,DLin-MC3-DMA,DSPC,,mRNA,Cell Membrane-Modified Lipid Nanoparticle Enhanced Glioblastoma Immunotherapy via Metabolism Reprogramming and Pyroptosi,,13414723,True
40:40:25:0.5,,text,low,"g a microfluidic mixing approach. The organic phase consisted of AA3-DLin, DOPE, cholesterol, and DMG-PEG2000 at a molar ratio of 40:40:25:0.5, dissolved in ethanol. The aqueous phase contained lucife",10.1021/acsnano.6c00729,MC3,DOPE,DMG-PEG,mRNA,Nanopore-Mediated Assembly Enables Precise and Continuous Synthesis of mRNA-Encapsulated Lipid Nanoparticles for COVID-1,헬퍼(40) > 콜레스테롤(25) — 통상과 반대입니다. 순서가 뒤바뀌었거나 논문 오기일 수 있습니다 (뒤집으면 40:25:40:0.5),13421963,
50:1.5:38.5,,text,low,"hanol solution (100% ethanol) containing the ionizable ALC-0315 lipid, DMG-PEG2K lipid, cholesterol, and DOPE at a molar ratio of 50:1.5:38.5:10. The saRNA-LNPs were formulated at three different N/P ",10.1021/acsnano.6c00709,ALC-0315,DOPE,DMG-PEG,mRNA,Pulmonary Delivery of Self-Amplifying RNA: Balancing Inflammation and Durable Transgene Expression,,13450450,
49.9:1.497:38.423:9.98,,text,low,"rchlorate was incorporated into the LNPs at a molar ratio of 0.2 relative to total lipids (with the lipid composition adjusted to 49.9:1.497:38.423:9.98:0.2). After formulation, saRNA-LNPs were subjec",10.1021/acsnano.6c00709,ALC-0315,DOPE,DMG-PEG,mRNA,Pulmonary Delivery of Self-Amplifying RNA: Balancing Inflammation and Durable Transgene Expression,PEG(9.98%)가 통상 범위(0.5~5%)보다 큽니다,13450450,
45:38.5:1.5:10,,text,low,"DSPC, and DSPE-PEG-MAN (purchased from Xi’an RuiXi Biotechnology) were dissolved in 1 mL of ethanol according to a molar ratio of 45:38.5:1.5:10:2 to obtain the mixed lipid solution. Then CAR mRNA (1 ",10.1136/jitc-2026-015323,,DSPC,DSPE-PEG,mRNA,In situ generation of proinflammatory CAR macrophages via mRNA-TLR agonist co-delivery for triple-negative breast cancer,헬퍼(38.5) > 콜레스테롤(1.5) — 통상과 반대입니다. 순서가 뒤바뀌었거나 논문 오기일 수 있습니다 (뒤집으면 45:1.5:38.5:10); PEG(10%)가 통상 범위(0.5~5%)보다 큽니다,13423166,
50:10:38.5:1.5,95.0,text,low,"ce co-loaded LNPs, we employed an Onpattro-based formulation 54 consisting of MC3/DSPC/cholesterol/DMG-PEG 2k at a molar ratio of 50/10/38.5/1.5 in et  ⟶EE근거: how the two factors of (i) electrostatic attraction between eLNPs and RNAs and (ii) lipid mobility can be tuned to achieve at 80%−95% encapsulation ef",10.64898/2026.07.21.737377,MC3,DSPC,DMG-PEG,mRNA,Post-loading ribonucleic acid into lipid nanoparticle carriers,,13419738,True
50:10:38.5,,text,low,"y charged LNPs Benchmark LNPs were prepared using ionizable lipid SM-102, DSPC, cholesterol, and mPEG2000-DMG at a molar ratio of 50:10:38.5:1.5. Briefly, an aqueous phase containing nucleic acids (li",10.1016/j.ijpx.2026.100613,SM-102,DOPE,PEG2000-DMG,mRNA,Surface charge of LNP and V-ATPase activity of target cell synergize in functional delivery of nucleic acid in vitro and,,13401025,
50:10:38.5:1.5,,text,low,"of neutral LNPs by Fed and -FBS HeLa cells. Benchmark LNPs (ionizable lipid/helper lipid/cholesterol/PEG-lipid in molar ratios of 50:10:38.5:1.5) with N/P ratio 2 to 6 were prepared, which are near ne",10.1016/j.ijpx.2026.100613,SM-102,DOPE,PEG2000-DMG,mRNA,Surface charge of LNP and V-ATPase activity of target cell synergize in functional delivery of nucleic acid in vitro and,,13401025,
65:33.5:1.5,,text,low,IS fluorescence images of C57/BL6 mice i.v. injected with DiR labeled benchmark LNPs or positively-charged LNPs (DOTAP:Chol:PEG = 65: 33.5: 1.5 mol%) encapsulating Luciferase mRNA (0.5 mg/kg body weig,10.1016/j.ijpx.2026.100613,SM-102,DOPE,PEG2000-DMG,mRNA,Surface charge of LNP and V-ATPase activity of target cell synergize in functional delivery of nucleic acid in vitro and,,13401025,
38.5:1.5:50:10,,text,low,s Positively charged LNPs (DOTAP/Chol/PEG with 33.5 mol% cholesterol) and neutral benchmark LNPs (SM-102/DSPC/Chol/mPEG2000-DMG = 50:10:38.5:1.5) were prepared as described above and tail vein injecte,10.1016/j.ijpx.2026.100613,SM-102,DOPE,PEG2000-DMG,mRNA,Surface charge of LNP and V-ATPase activity of target cell synergize in functional delivery of nucleic acid in vitro and,PEG(10%)가 통상 범위(0.5~5%)보다 큽니다,13401025,
35:16:46.5:2.5,,text,low,"000) (Avanti® Polar Lipids, US). C12-200 LNPs were prepared with C12-200, DSPC, cholesterol, and DMPE-PEG2000 at a molar ratio of 35 : 16 : 46.5 : 2.5, at an RNA to lipid ratio of 1 : 55 (w/w). Glycop",10.1039/d6sc03833f,C12-200,DSPC,,mRNA,Lipid nanoparticle formulations including stereochemically defined glycomacromolecules for delivery of saRNA,,13267483,
50:10:38.5:1.5,,text,low," a control formulation, the four lipid compounds (SM-102, cholesterol, DSPC, and DMG-PEG2000) were formulated at a molar ratio of 50:38.5:10:1.5, to generate the original commercial SM-102 LNPs (cLNPs",10.1038/s41467-026-73512-3,SM-102,DSPC,DMG-PEG2000,mRNA,Antioxidant lipid nanoparticles enhance mRNA stability for regeneration therapy and gene editing,,13396230,
50:10:38.5,,text,low,"The cLNPs used in this study contain an ionizable cationic lipid (SM-102), DSPC, cholesterol, and DMG-PEG2000 in a molar ratio of 50:10:38.5:1.5. The mass ratio of mRNA to total lipids was maintained ",10.1038/s41467-026-73512-3,SM-102,DSPC,DMG-PEG2000,mRNA,Antioxidant lipid nanoparticles enhance mRNA stability for regeneration therapy and gene editing,,13396230,
